"","TruePositiveCount","FalsePositiveCount","TrueNegativeCount","FalseNegativeCount","TruePositiveRate","Specificity","FalsePositiveRate","SignalToNoise","SignalToNoiseRate","PositivePredictiveValue","Accuracy"
"tree to grassland",8,1232,15371,68,0.103896103896104,0.925796542793471,0.0735961768219833,0.00649350649350649,1.41170517793894,0.00645161290322581,0.914491288577035
"water to grassland",34,1232,15371,11,0.755555555555556,0.925796542793471,0.0735961768219833,0.0275974025974026,10.2662337662338,0.0268562401263823,0.917783735478105
"grassland to water",19,1232,15371,19,0.487179487179487,0.925796542793471,0.0735961768219833,0.0154220779220779,6.61963036963037,0.0151878497202238,0.917217951010191
"water to bare",17,1232,15371,16,0.5,0.925796542793471,0.0735961768219833,0.0137987012987013,6.79383116883117,0.0136108887109688,0.917372123524502
"water to wetland_herbaceous",27,1232,15371,7,0.794117647058823,0.925796542793471,0.0735961768219833,0.0219155844155844,10.7902024446142,0.0214455917394758,0.917968284249434
"grassland to grassland",7,1232,15371,21,0.25,0.925796542793471,0.0735961768219833,0.00568181818181818,3.39691558441558,0.00564971751412429,0.917104007633588
"wetland_herbaceous to water",11,1232,15371,13,0.44,0.925796542793471,0.0735961768219833,0.00892857142857143,5.97857142857143,0.00884955752212389,0.917506710408589
"tree to crops",2,1232,15371,20,0.0909090909090909,0.925796542793471,0.0735961768219833,0.00162337662337662,1.23524203069658,0.00162074554294976,0.917133993556855
"shrub to grassland",9,1232,15371,10,0.473684210526316,0.925796542793471,0.0735961768219833,0.00730519480519481,6.43626110731374,0.0072522159548751,0.91771585416791
"bare to water",7,1232,15371,8,0.4375,0.925796542793471,0.0735961768219833,0.00568181818181818,5.94460227272727,0.00564971751412429,0.91776080210074
"shrub to crops",1,1232,15371,15,0.0625,0.925796542793471,0.0735961768219833,0.000811688311688312,0.849228896103896,0.0008110300081103,0.917402721413225
"grassland to shrub",1,1232,15371,14,0.0666666666666667,0.925796542793471,0.0735961768219833,0.000811688311688312,0.905844155844156,0.0008110300081103,0.917457475380483
"grassland to crops",0,1232,15371,12,0,0.925796542793471,0.0735961768219833,0,0,0,0.917562082139446
"water to water",6,1232,15371,6,0.5,0.925796542793471,0.0735961768219833,0.00487012987012987,6.79383116883117,0.00484652665589661,0.917920248328558
"tree to tree",1,1232,15371,10,0.0909090909090909,0.925796542793471,0.0735961768219833,0.000811688311688312,1.23524203069658,0.0008110300081103,0.917676556623485
"water to shrub",9,1232,15371,0,1,0.925796542793471,0.0735961768219833,0.00730519480519481,13.5876623376623,0.0072522159548751,0.918263776941907
"wetland_herbaceous to grassland",8,1232,15371,0,1,0.925796542793471,0.0735961768219833,0.00649350649350649,13.5876623376623,0.00645161290322581,0.918258896584667
"crops to grassland",0,1232,15371,6,0,0.925796542793471,0.0735961768219833,0,0,0,0.917836030333791
"tree to shrub",1,1232,15371,5,0.142857142857143,0.925796542793471,0.0735961768219833,0.000811688311688312,1.94109461966605,0.0008110300081103,0.917895742521049
"grassland to bare",2,1232,15371,4,0.333333333333333,0.925796542793471,0.0735961768219833,0.00162337662337662,4.52922077922078,0.00162074554294976,0.918010271109519
"crops to crops",0,1232,15371,5,0,0.925796542793471,0.0735961768219833,0,0,0,0.917945655419528
"crops to water",2,1232,15371,3,0.4,0.925796542793471,0.0735961768219833,0.00162337662337662,5.43506493506494,0.00162074554294976,0.918065094057928
"tree to burnt",1,1232,15371,4,0.2,0.925796542793471,0.0735961768219833,0.000811688311688312,2.71753246753247,0.0008110300081103,0.918005374738728
"shrub to shrub",0,1232,15371,3,0,0.925796542793471,0.0735961768219833,0,0,0,0.918055306695335
"shrub to water",1,1232,15371,2,0.333333333333333,0.925796542793471,0.0735961768219833,0.000811688311688312,4.52922077922078,0.0008110300081103,0.918115033148181
"water to crops",1,1232,15371,2,0.333333333333333,0.925796542793471,0.0735961768219833,0.000811688311688312,4.52922077922078,0.0008110300081103,0.918115033148181
"wetland_herbaceous to wetland_herbaceous",3,1232,15371,0,1,0.925796542793471,0.0735961768219833,0.00243506493506494,13.5876623376623,0.00242914979757085,0.918234486053873
"bare to bare",2,1232,15371,0,1,0.925796542793471,0.0735961768219833,0.00162337662337662,13.5876623376623,0.00162074554294976,0.918229602198065
"bare to grassland",0,1232,15371,2,0,0.925796542793471,0.0735961768219833,0,0,0,0.918110142157448
"crops to shrub",0,1232,15371,2,0,0.925796542793471,0.0735961768219833,0,0,0,0.918110142157448
"grassland to tree",1,1232,15371,1,0.5,0.925796542793471,0.0735961768219833,0.000811688311688312,6.79383116883117,0.0008110300081103,0.918169872177757
"grassland to wetland_herbaceous",2,1232,15371,0,1,0.925796542793471,0.0735961768219833,0.00162337662337662,13.5876623376623,0.00162074554294976,0.918229602198065
