"","TruePositiveCount","FalsePositiveCount","TrueNegativeCount","FalseNegativeCount","TruePositiveRate","Specificity","FalsePositiveRate","SignalToNoise","SignalToNoiseRate","PositivePredictiveValue","Accuracy"
"tree to grassland",58,2837,8201,165,0.258928571428571,0.742978800507338,0.25108416674042,0.0204441311244272,1.03124213203082,0.0200345423143351,0.71674043217912
"grassland to water",80,2837,8201,94,0.454545454545455,0.742978800507338,0.25108416674042,0.0281988015509341,1.8103310154773,0.0274254370929037,0.721655773420479
"tree to water",28,2837,8201,85,0.23728813559322,0.742978800507338,0.25108416674042,0.00986958054282693,0.945054157232216,0.00977312390924956,0.720767276867829
"bare to water",20,2837,8201,55,0.235294117647059,0.742978800507338,0.25108416674042,0.00704970038773352,0.937112525658836,0.00700035001750087,0.722153900210822
"grassland to grassland",29,2837,8201,55,0.345238095238095,0.742978800507338,0.25108416674042,0.0102220655622136,1.37498950937442,0.0101186322400558,0.723007994377581
"water to grassland",25,2837,8201,45,0.357142857142857,0.742978800507338,0.25108416674042,0.0088121254846669,1.42240294073216,0.00873515024458421,0.72354648605858
"shrub to grassland",30,2837,8201,33,0.46875,0.742978800507338,0.25108416674042,0.0105745505816003,1.86690385971096,0.0104638995465644,0.72436856463962
"grassland to shrub",9,2837,8201,49,0.155172413793103,0.742978800507338,0.25108416674042,0.00317236517448008,0.618009553559491,0.00316233309908644,0.722902174870124
"water to water",30,2837,8201,18,0.6,0.742978800507338,0.25108416674042,0.0105745505816003,2.38963694043003,0.0104638995465644,0.725262137633272
"shrub to water",19,2837,8201,16,0.487179487179487,0.742978800507338,0.25108416674042,0.00669721536834685,1.94030349863977,0.00665266106442577,0.724995590051155
"tree to tree",6,2837,8201,31,0.157894736842105,0.742978800507338,0.25108416674042,0.00211491011632006,0.628851826428956,0.00211044671122054,0.723912851724442
"wetland_herbaceous to water",11,2837,8201,16,0.392857142857143,0.742978800507338,0.25108416674042,0.00387733521325344,1.56464323480538,0.0038623595505618,0.724993378652777
"not_sure to water",10,2837,8201,11,0.454545454545455,0.742978800507338,0.25108416674042,0.00352485019386676,1.8103310154773,0.00351246926589392,0.725289285398816
"tree to shrub",8,2837,8201,11,0.421052631578947,0.742978800507338,0.25108416674042,0.00281988015509341,1.67693820381055,0.00281195079086116,0.725304824173882
"grassland to tree",1,2837,8201,17,0.0555555555555556,0.742978800507338,0.25108416674042,0.000352485019386676,0.221262679669447,0.000352360817477097,0.724750375541221
"wetland_herbaceous to grassland",5,2837,8201,13,0.277777777777778,0.742978800507338,0.25108416674042,0.00176242509693338,1.10631339834724,0.00175932441942294,0.725103826102324
"crops to grassland",8,2837,8201,5,0.615384615384615,0.742978800507338,0.25108416674042,0.00281988015509341,2.45090968249234,0.00281195079086116,0.725689533239038
"water to bare",7,2837,8201,6,0.538461538461538,0.742978800507338,0.25108416674042,0.00246739513570673,2.1445459721808,0.00246132208157525,0.725601131541726
"tree to bare",5,2837,8201,7,0.416666666666667,0.742978800507338,0.25108416674042,0.00176242509693338,1.65947009752086,0.00175932441942294,0.725488462558571
"bare to grassland",2,2837,8201,8,0.181818181818182,0.742978800507338,0.25108416674042,0.000704970038773352,0.724132406190919,0.000704473406128919,0.725287356321839
"tree to burnt",9,2837,8201,2,0.818181818181818,0.742978800507338,0.25108416674042,0.00317236517448008,3.25859582785913,0.00316233309908644,0.725906277630416
"tree to wetland_herbaceous",2,2837,8201,9,0.181818181818182,0.742978800507338,0.25108416674042,0.000704970038773352,0.724132406190919,0.000704473406128919,0.725287356321839
"not_sure to grassland",3,2837,8201,7,0.3,0.742978800507338,0.25108416674042,0.00105745505816003,1.19481847021502,0.00105633802816901,0.725439915111858
"shrub to burnt",10,2837,8201,0,1,0.742978800507338,0.25108416674042,0.00352485019386676,3.98272823405005,0.00351246926589392,0.726058891148643
"water to tree",2,2837,8201,8,0.2,0.742978800507338,0.25108416674042,0.000704970038773352,0.796545646810011,0.000704473406128919,0.725351489963746
"shrub to shrub",4,2837,8201,5,0.444444444444444,0.742978800507338,0.25108416674042,0.0014099400775467,1.77010143735558,0.00140795494544175,0.72559250088433
"burnt to grassland",4,2837,8201,4,0.5,0.742978800507338,0.25108416674042,0.0014099400775467,1.99136411702503,0.00140795494544175,0.725656672857522
"grassland to bare",3,2837,8201,5,0.375,0.742978800507338,0.25108416674042,0.00105745505816003,1.49352308776877,0.00105633802816901,0.72556823206863
"tree to not_sure",4,2837,8201,4,0.5,0.742978800507338,0.25108416674042,0.0014099400775467,1.99136411702503,0.00140795494544175,0.725656672857522
"grassland to burnt",6,2837,8201,1,0.857142857142857,0.742978800507338,0.25108416674042,0.00211491011632006,3.41376705775719,0.00211044671122054,0.725897753405272
"shrub to tree",0,2837,8201,7,0,0.742978800507338,0.25108416674042,0,0,0,0.725367061737131
"water to crops",1,2837,8201,6,0.142857142857143,0.742978800507338,0.25108416674042,0.000352485019386676,0.568961176292865,0.000352360817477097,0.725455510348488
"water to wetland_herbaceous",2,2837,8201,5,0.285714285714286,0.742978800507338,0.25108416674042,0.000704970038773352,1.13792235258573,0.000704473406128919,0.725543958959844
"grassland to crops",1,2837,8201,5,0.166666666666667,0.742978800507338,0.25108416674042,0.000352485019386676,0.663788039008342,0.000352360817477097,0.725519681556833
"shrub to bare",3,2837,8201,2,0.5,0.742978800507338,0.25108416674042,0.00105745505816003,1.99136411702503,0.00105633802816901,0.725696594427245
"tree to crops",1,2837,8201,5,0.166666666666667,0.742978800507338,0.25108416674042,0.000352485019386676,0.663788039008342,0.000352360817477097,0.725519681556833
"bare to bare",3,2837,8201,2,0.6,0.742978800507338,0.25108416674042,0.00105745505816003,2.38963694043003,0.00105633802816901,0.725760792639774
"shrub to crops",1,2837,8201,4,0.2,0.742978800507338,0.25108416674042,0.000352485019386676,0.796545646810011,0.000352360817477097,0.725583864118896
"water to burnt",3,2837,8201,2,0.6,0.742978800507338,0.25108416674042,0.00105745505816003,2.38963694043003,0.00105633802816901,0.725760792639774
"water to shrub",0,2837,8201,5,0,0.742978800507338,0.25108416674042,0,0,0,0.725495399858457
"burnt to shrub",1,2837,8201,3,0.25,0.742978800507338,0.25108416674042,0.000352485019386676,0.995682058512513,0.000352360817477097,0.725648058037689
"crops to water",2,2837,8201,2,0.5,0.742978800507338,0.25108416674042,0.000704970038773352,1.99136411702503,0.000704473406128919,0.725736530124746
"water to not_sure",0,2837,8201,4,0,0.742978800507338,0.25108416674042,0,0,0,0.725559585950633
"urban_built_up to grassland",1,2837,8201,2,0.333333333333333,0.742978800507338,0.25108416674042,0.000352485019386676,1.32757607801668,0.000352360817477097,0.725712263316227
"wetland_herbaceous to tree",1,2837,8201,2,0.333333333333333,0.742978800507338,0.25108416674042,0.000352485019386676,1.32757607801668,0.000352360817477097,0.725712263316227
"bare to wetland_herbaceous",0,2837,8201,2,0,0.742978800507338,0.25108416674042,0,0,0,0.725687992213078
"crops to shrub",0,2837,8201,2,0,0.742978800507338,0.25108416674042,0,0,0,0.725687992213078
"crops to tree",1,2837,8201,1,0.5,0.742978800507338,0.25108416674042,0.000352485019386676,1.99136411702503,0.000352360817477097,0.725776479957526
"grassland to wetland_herbaceous",1,2837,8201,1,0.5,0.742978800507338,0.25108416674042,0.000352485019386676,1.99136411702503,0.000352360817477097,0.725776479957526
"shrub to wetland_herbaceous",2,2837,8201,0,1,0.742978800507338,0.25108416674042,0.000704970038773352,3.98272823405005,0.000704473406128919,0.725864967701973
"water to urban_built_up",0,2837,8201,2,0,0.742978800507338,0.25108416674042,0,0,0,0.725687992213078
"wetland_herbaceous to bare",1,2837,8201,1,0.5,0.742978800507338,0.25108416674042,0.000352485019386676,1.99136411702503,0.000352360817477097,0.725776479957526
"wetland_herbaceous to wetland_herbaceous",0,2837,8201,1,0,0.742978800507338,0.25108416674042,0,0,0,0.725687992213078
"bare to shrub",1,2837,8201,0,1,0.742978800507338,0.25108416674042,0.000352485019386676,3.98272823405005,0.000352360817477097,0.725840707964602
"burnt to water",1,2837,8201,0,1,0.742978800507338,0.25108416674042,0.000352485019386676,3.98272823405005,0.000352360817477097,0.725840707964602
"crops to bare",1,2837,8201,0,1,0.742978800507338,0.25108416674042,0.000352485019386676,3.98272823405005,0.000352360817477097,0.725840707964602
"crops to crops",0,2837,8201,1,0,0.742978800507338,0.25108416674042,0,0,0,0.72575221238938
"lichen_and_moss to grassland",1,2837,8201,0,1,0.742978800507338,0.25108416674042,0.000352485019386676,3.98272823405005,0.000352360817477097,0.725840707964602
"not_sure to crops",0,2837,8201,1,0,0.742978800507338,0.25108416674042,0,0,0,0.72575221238938
"not_sure to tree",0,2837,8201,1,0,0.742978800507338,0.25108416674042,0,0,0,0.72575221238938
"not_sure to wetland_herbaceous",0,2837,8201,1,0,0.742978800507338,0.25108416674042,0,0,0,0.72575221238938
"shrub to not_sure",1,2837,8201,0,1,0.742978800507338,0.25108416674042,0.000352485019386676,3.98272823405005,0.000352360817477097,0.725840707964602
"snow_and_ice to water",0,2837,8201,1,0,0.742978800507338,0.25108416674042,0,0,0,0.72575221238938
"urban_built_up to crops",1,2837,8201,0,1,0.742978800507338,0.25108416674042,0.000352485019386676,3.98272823405005,0.000352360817477097,0.725840707964602
"urban_built_up to water",0,2837,8201,1,0,0.742978800507338,0.25108416674042,0,0,0,0.72575221238938
