"","TruePositiveCount","FalsePositiveCount","TrueNegativeCount","FalseNegativeCount","TruePositiveRate","Specificity","FalsePositiveRate","SignalToNoise","SignalToNoiseRate","PositivePredictiveValue","Accuracy"
"tree to grassland",48,1776,9262,175,0.214285714285714,0.839101286464939,0.157182051508983,0.027027027027027,1.36329633204633,0.0263157894736842,0.807949318753797
"grassland to water",68,1776,9262,106,0.386363636363636,0.839101286464939,0.157182051508983,0.0382882882882883,2.4580645986896,0.0368763557483731,0.813071895424837
"tree to water",21,1776,9262,92,0.177966101694915,0.839101286464939,0.157182051508983,0.0118243243243243,1.13222915712322,0.011686143572621,0.813085749321188
"bare to water",25,1776,9262,50,0.294117647058824,0.839101286464939,0.157182051508983,0.0140765765765766,1.87119104398516,0.0138811771238201,0.815794096978215
"grassland to grassland",36,1776,9262,48,0.428571428571429,0.839101286464939,0.157182051508983,0.0202702702702703,2.72659266409266,0.0198675496688742,0.816832118070807
"water to grassland",17,1776,9262,53,0.242857142857143,0.839101286464939,0.157182051508983,0.00957207207207207,1.54506917631918,0.00948131622978249,0.816166769284898
"shrub to grassland",35,1776,9262,28,0.546875,0.839101286464939,0.157182051508983,0.0197072072072072,3.47924584740991,0.0193263390392049,0.818181818181818
"grassland to shrub",0,1776,9262,58,0,0.839101286464939,0.157182051508983,0,0,0,0.815532270846174
"water to water",27,1776,9262,21,0.54,0.839101286464939,0.157182051508983,0.0152027027027027,3.43550675675676,0.0149750415973378,0.818486210238788
"shrub to water",14,1776,9262,21,0.358974358974359,0.839101286464939,0.157182051508983,0.00788288288288288,2.28381265881266,0.00782122905027933,0.818133709648968
"tree to tree",2,1776,9262,35,0.0526315789473684,0.839101286464939,0.157182051508983,0.00112612612612613,0.334844713134187,0.00112485939257593,0.817147393490341
"wetland_herbaceous to water",11,1776,9262,16,0.392857142857143,0.839101286464939,0.157182051508983,0.00619369369369369,2.49937660875161,0.00615556799104645,0.81866337070716
"not_sure to water",8,1776,9262,13,0.363636363636364,0.839101286464939,0.157182051508983,0.0045045045045045,2.31347256347256,0.00448430493273543,0.818832258634396
"tree to shrub",7,1776,9262,12,0.368421052631579,0.839101286464939,0.157182051508983,0.00394144144144144,2.34391299193931,0.00392596747055524,0.81896094716381
"grassland to tree",1,1776,9262,17,0.0555555555555556,0.839101286464939,0.157182051508983,0.000563063063063063,0.353447197197197,0.00056274620146314,0.81850313687373
"wetland_herbaceous to grassland",4,1776,9262,14,0.222222222222222,0.839101286464939,0.157182051508983,0.00225225225225225,1.41378878878879,0.00224719101123596,0.818768224794557
"crops to grassland",4,1776,9262,9,0.307692307692308,0.839101286464939,0.157182051508983,0.00225225225225225,1.95755370755371,0.00224719101123596,0.819130127298444
"water to bare",5,1776,9262,8,0.384615384615385,0.839101286464939,0.157182051508983,0.00281531531531532,2.44694213444213,0.00280741156653565,0.819218528995757
"tree to bare",4,1776,9262,8,0.333333333333333,0.839101286464939,0.157182051508983,0.00225225225225225,2.12068318318318,0.00224719101123596,0.81920254619397
"bare to grassland",1,1776,9262,9,0.0909090909090909,0.839101286464939,0.157182051508983,0.000563063063063063,0.578368140868141,0.00056274620146314,0.819009725906278
"tree to burnt",10,1776,9262,1,0.909090909090909,0.839101286464939,0.157182051508983,0.00563063063063063,5.78368140868141,0.00559910414333707,0.819805481874447
"tree to wetland_herbaceous",2,1776,9262,9,0.181818181818182,0.839101286464939,0.157182051508983,0.00112612612612613,1.15673628173628,0.00112485939257593,0.819098143236074
"not_sure to grassland",2,1776,9262,8,0.2,0.839101286464939,0.157182051508983,0.00112612612612613,1.27240990990991,0.00112485939257593,0.819170572110708
"shrub to burnt",9,1776,9262,1,0.9,0.839101286464939,0.157182051508983,0.00506756756756757,5.72584459459459,0.00504201680672269,0.819789548147493
"water to tree",2,1776,9262,8,0.2,0.839101286464939,0.157182051508983,0.00112612612612613,1.27240990990991,0.00112485939257593,0.819170572110708
"shrub to shrub",3,1776,9262,6,0.333333333333333,0.839101286464939,0.157182051508983,0.00168918918918919,2.12068318318318,0.00168634064080944,0.819331446763353
"burnt to grassland",1,1776,9262,7,0.125,0.839101286464939,0.157182051508983,0.000563063063063063,0.795256193693694,0.00056274620146314,0.819227027505085
"grassland to bare",5,1776,9262,3,0.625,0.839101286464939,0.157182051508983,0.00281531531531532,3.97628096846847,0.00280741156653565,0.819580790660653
"tree to not_sure",3,1776,9262,5,0.375,0.839101286464939,0.157182051508983,0.00168918918918919,2.38576858108108,0.00168634064080944,0.819403909082869
"grassland to burnt",7,1776,9262,0,1,0.839101286464939,0.157182051508983,0.00394144144144144,6.36204954954955,0.00392596747055524,0.819830178666195
"shrub to tree",1,1776,9262,6,0.142857142857143,0.839101286464939,0.157182051508983,0.000563063063063063,0.908864221364221,0.00056274620146314,0.819299486998054
"water to crops",1,1776,9262,6,0.142857142857143,0.839101286464939,0.157182051508983,0.000563063063063063,0.908864221364221,0.00056274620146314,0.819299486998054
"water to wetland_herbaceous",2,1776,9262,5,0.285714285714286,0.839101286464939,0.157182051508983,0.00112612612612613,1.81772844272844,0.00112485939257593,0.819387935609411
"grassland to crops",1,1776,9262,5,0.166666666666667,0.839101286464939,0.157182051508983,0.000563063063063063,1.06034159159159,0.00056274620146314,0.81937195931004
"shrub to bare",2,1776,9262,3,0.333333333333333,0.839101286464939,0.157182051508983,0.00112612612612613,2.12068318318318,0.00112485939257593,0.819460415745245
"tree to crops",1,1776,9262,5,0.166666666666667,0.839101286464939,0.157182051508983,0.000563063063063063,1.06034159159159,0.00056274620146314,0.81937195931004
"bare to bare",1,1776,9262,4,0.2,0.839101286464939,0.157182051508983,0.000563063063063063,1.27240990990991,0.00056274620146314,0.819444444444444
"shrub to crops",1,1776,9262,4,0.2,0.839101286464939,0.157182051508983,0.000563063063063063,1.27240990990991,0.00056274620146314,0.819444444444444
"water to burnt",3,1776,9262,2,0.6,0.839101286464939,0.157182051508983,0.00168918918918919,3.81722972972973,0.00168634064080944,0.819621372965322
"water to shrub",1,1776,9262,4,0.2,0.839101286464939,0.157182051508983,0.000563063063063063,1.27240990990991,0.00056274620146314,0.819444444444444
"burnt to shrub",0,1776,9262,4,0,0.839101286464939,0.157182051508983,0,0,0,0.819428470317615
"crops to water",1,1776,9262,3,0.25,0.839101286464939,0.157182051508983,0.000563063063063063,1.59051238738739,0.00056274620146314,0.819516942404671
"water to not_sure",0,1776,9262,4,0,0.839101286464939,0.157182051508983,0,0,0,0.819428470317615
"urban_built_up to grassland",1,1776,9262,2,0.333333333333333,0.839101286464939,0.157182051508983,0.000563063063063063,2.12068318318318,0.00056274620146314,0.819589453194125
"wetland_herbaceous to tree",1,1776,9262,2,0.333333333333333,0.839101286464939,0.157182051508983,0.000563063063063063,2.12068318318318,0.00056274620146314,0.819589453194125
"bare to wetland_herbaceous",1,1776,9262,1,0.5,0.839101286464939,0.157182051508983,0.000563063063063063,3.18102477477477,0.00056274620146314,0.819661976816211
"crops to shrub",0,1776,9262,2,0,0.839101286464939,0.157182051508983,0,0,0,0.819573489071764
"crops to tree",1,1776,9262,1,0.5,0.839101286464939,0.157182051508983,0.000563063063063063,3.18102477477477,0.00056274620146314,0.819661976816211
"grassland to wetland_herbaceous",1,1776,9262,1,0.5,0.839101286464939,0.157182051508983,0.000563063063063063,3.18102477477477,0.00056274620146314,0.819661976816211
"shrub to wetland_herbaceous",2,1776,9262,0,1,0.839101286464939,0.157182051508983,0.00112612612612613,6.36204954954955,0.00112485939257593,0.819750464560658
"water to urban_built_up",0,1776,9262,2,0,0.839101286464939,0.157182051508983,0,0,0,0.819573489071764
"wetland_herbaceous to bare",0,1776,9262,2,0,0.839101286464939,0.157182051508983,0,0,0,0.819573489071764
"wetland_herbaceous to wetland_herbaceous",0,1776,9262,1,0,0.839101286464939,0.157182051508983,0,0,0,0.819573489071764
"bare to shrub",1,1776,9262,0,1,0.839101286464939,0.157182051508983,0.000563063063063063,6.36204954954955,0.00056274620146314,0.819734513274336
"burnt to water",1,1776,9262,0,1,0.839101286464939,0.157182051508983,0.000563063063063063,6.36204954954955,0.00056274620146314,0.819734513274336
"crops to bare",1,1776,9262,0,1,0.839101286464939,0.157182051508983,0.000563063063063063,6.36204954954955,0.00056274620146314,0.819734513274336
"crops to crops",0,1776,9262,1,0,0.839101286464939,0.157182051508983,0,0,0,0.819646017699115
"lichen_and_moss to grassland",1,1776,9262,0,1,0.839101286464939,0.157182051508983,0.000563063063063063,6.36204954954955,0.00056274620146314,0.819734513274336
"not_sure to crops",0,1776,9262,1,0,0.839101286464939,0.157182051508983,0,0,0,0.819646017699115
"not_sure to tree",1,1776,9262,0,1,0.839101286464939,0.157182051508983,0.000563063063063063,6.36204954954955,0.00056274620146314,0.819734513274336
"not_sure to wetland_herbaceous",0,1776,9262,1,0,0.839101286464939,0.157182051508983,0,0,0,0.819646017699115
"shrub to not_sure",0,1776,9262,1,0,0.839101286464939,0.157182051508983,0,0,0,0.819646017699115
"snow_and_ice to water",0,1776,9262,1,0,0.839101286464939,0.157182051508983,0,0,0,0.819646017699115
"urban_built_up to crops",0,1776,9262,1,0,0.839101286464939,0.157182051508983,0,0,0,0.819646017699115
"urban_built_up to water",0,1776,9262,1,0,0.839101286464939,0.157182051508983,0,0,0,0.819646017699115
