"","TruePositiveCount","FalsePositiveCount","TrueNegativeCount","FalseNegativeCount","TruePositiveRate","Specificity","FalsePositiveRate","SignalToNoise","SignalToNoiseRate","PositivePredictiveValue","Accuracy"
"tree to grassland",45,1529,9509,178,0.200892857142857,0.861478528718971,0.135321709885831,0.0294310006540222,1.48455748388302,0.0285895806861499,0.829124359975701
"grassland to water",67,1529,9509,107,0.380681818181818,0.861478528718971,0.135321709885831,0.0438194898626553,2.81316145430763,0.0419799498746867,0.834509803921569
"tree to water",20,1529,9509,93,0.169491525423729,0.861478528718971,0.135321709885831,0.013080444735121,1.25250800900112,0.012911555842479,0.834632565472541
"bare to water",16,1529,9509,59,0.188235294117647,0.861478528718971,0.135321709885831,0.0104643557880968,1.3910206594083,0.0103559870550162,0.83670063246662
"grassland to grassland",27,1529,9509,57,0.321428571428571,0.861478528718971,0.135321709885831,0.0176586003924133,2.37529197421284,0.0173521850899743,0.837740490204691
"water to grassland",16,1529,9509,54,0.228571428571429,0.861478528718971,0.135321709885831,0.0104643557880968,1.6890965149958,0.0103559870550162,0.83780455624945
"shrub to grassland",29,1529,9509,34,0.453125,0.861478528718971,0.135321709885831,0.0189666448659254,3.34850188031393,0.0186136071887035,0.83939100589633
"grassland to shrub",0,1529,9509,58,0,0.861478528718971,0.135321709885831,0,0,0,0.837280972087699
"water to water",27,1529,9509,21,0.54,0.861478528718971,0.135321709885831,0.0176586003924133,3.99049051667757,0.0173521850899743,0.840250242312098
"shrub to water",14,1529,9509,21,0.358974358974359,0.861478528718971,0.135321709885831,0.0091563113145847,2.65274773188442,0.00907323395981854,0.839918856941259
"tree to tree",2,1529,9509,35,0.0526315789473684,0.861478528718971,0.135321709885831,0.0013080444735121,0.388936697531927,0.00130633572828217,0.838934462379818
"wetland_herbaceous to water",10,1529,9509,17,0.357142857142857,0.861478528718971,0.135321709885831,0.0065402223675605,2.63921330468093,0.00649772579597141,0.840381389600071
"not_sure to water",8,1529,9509,13,0.363636363636364,0.861478528718971,0.135321709885831,0.0052321778940484,2.68719900112967,0.00520494469746259,0.840650119247416
"tree to shrub",6,1529,9509,13,0.315789473684211,0.861478528718971,0.135321709885831,0.0039241334205363,2.33362018519156,0.00390879478827362,0.840696236084114
"grassland to tree",0,1529,9509,18,0,0.861478528718971,0.135321709885831,0,0,0,0.84024034638155
"wetland_herbaceous to grassland",3,1529,9509,15,0.166666666666667,0.861478528718971,0.135321709885831,0.00196206671026815,1.23163287551777,0.00195822454308094,0.840505434302377
"crops to grassland",4,1529,9509,9,0.307692307692308,0.861478528718971,0.135321709885831,0.0026160889470242,2.27378377018665,0.00260926288323549,0.840965346534653
"water to bare",5,1529,9509,8,0.384615384615385,0.861478528718971,0.135321709885831,0.00327011118378025,2.84222971273331,0.00325945241199478,0.841053748231966
"tree to bare",4,1529,9509,8,0.333333333333333,0.861478528718971,0.135321709885831,0.0026160889470242,2.46326575103553,0.00260926288323549,0.841039695871276
"bare to grassland",1,1529,9509,9,0.0909090909090909,0.861478528718971,0.135321709885831,0.00065402223675605,0.671799750282419,0.00065359477124183,0.840848806366048
"tree to burnt",9,1529,9509,2,0.818181818181818,0.861478528718971,0.135321709885831,0.00588620013080445,6.04619775254177,0.005851755526658,0.841556145004421
"tree to wetland_herbaceous",2,1529,9509,9,0.181818181818182,0.861478528718971,0.135321709885831,0.0013080444735121,1.34359950056484,0.00130633572828217,0.840937223695844
"not_sure to grassland",1,1529,9509,9,0.1,0.861478528718971,0.135321709885831,0.00065402223675605,0.738979725310661,0.00065359477124183,0.840923158546291
"shrub to burnt",9,1529,9509,1,0.9,0.861478528718971,0.135321709885831,0.00588620013080445,6.65081752779594,0.005851755526658,0.841630559731187
"water to tree",2,1529,9509,8,0.2,0.861478528718971,0.135321709885831,0.0013080444735121,1.47795945062132,0.00130633572828217,0.841011583694403
"shrub to shrub",3,1529,9509,6,0.333333333333333,0.861478528718971,0.135321709885831,0.00196206671026815,2.46326575103553,0.00195822454308094,0.841174389812522
"burnt to grassland",1,1529,9509,7,0.125,0.861478528718971,0.135321709885831,0.00065402223675605,0.923724656638326,0.00065359477124183,0.841071902361369
"grassland to bare",2,1529,9509,6,0.25,0.861478528718971,0.135321709885831,0.0013080444735121,1.84744931327665,0.00130633572828217,0.841160343150261
"tree to not_sure",3,1529,9509,5,0.375,0.861478528718971,0.135321709885831,0.00196206671026815,2.77117396991498,0.00195822454308094,0.841248783939153
"grassland to burnt",6,1529,9509,1,0.857142857142857,0.861478528718971,0.135321709885831,0.0039241334205363,6.33411193123423,0.00390879478827362,0.841588537059968
"shrub to tree",0,1529,9509,7,0,0.861478528718971,0.135321709885831,0,0,0,0.841057845391827
"water to crops",0,1529,9509,7,0,0.861478528718971,0.135321709885831,0,0,0,0.841057845391827
"water to wetland_herbaceous",1,1529,9509,6,0.142857142857143,0.861478528718971,0.135321709885831,0.00065402223675605,1.05568532187237,0.00065359477124183,0.841146294003184
"grassland to crops",1,1529,9509,5,0.166666666666667,0.861478528718971,0.135321709885831,0.00065402223675605,1.23163287551777,0.00065359477124183,0.841220698805838
"shrub to bare",2,1529,9509,3,0.333333333333333,0.861478528718971,0.135321709885831,0.0013080444735121,2.46326575103553,0.00130633572828217,0.841309155241044
"tree to crops",1,1529,9509,5,0.166666666666667,0.861478528718971,0.135321709885831,0.00065402223675605,1.23163287551777,0.00065359477124183,0.841220698805838
"bare to bare",1,1529,9509,4,0.2,0.861478528718971,0.135321709885831,0.00065402223675605,1.47795945062132,0.00065359477124183,0.841295116772824
"shrub to crops",1,1529,9509,4,0.2,0.861478528718971,0.135321709885831,0.00065402223675605,1.47795945062132,0.00065359477124183,0.841295116772824
"water to burnt",3,1529,9509,2,0.6,0.861478528718971,0.135321709885831,0.00196206671026815,4.43387835186396,0.00195822454308094,0.841472045293701
"water to shrub",0,1529,9509,5,0,0.861478528718971,0.135321709885831,0,0,0,0.841206652512385
"burnt to shrub",0,1529,9509,4,0,0.861478528718971,0.135321709885831,0,0,0,0.841281075820579
